city,state,date_time,shape,duration
Essie,KY,2017-08-10T22:30:00,light,1 - 5 minutes
Narraganssett,RI,2017-08-10T22:30:00,formation,1 - 5 minutes
La Rue,OH,2017-08-10T22:30:00,flash,1 - 5 minutes
Louisville,KY,2017-08-10T22:00:00,light,6 - 10 minutes
Litchfield,MN,2017-08-10T20:47:00,light,1 - 5 minutes
Onset,MA,2017-08-10T20:35:00,oval,1 - 5 minutes
New Zealand,XX,2017-08-10T18:03:00,sphere,1 - 5 minutes
Scottsdale,AZ,2017-08-10T14:30:00,disk,1 - 5 minutes
Martinsburg,WV,2017-08-10T05:45:00,unknown,< 1 minute
Fernie,BC,2017-08-10T03:10:00,circle,1 - 5 minutes
Sherman Oaks,CA,2017-08-09T23:45:00,flash,6 - 10 minutes
Cumming,GA,2017-08-09T22:30:00,light,1 - 5 minutes
Los Angeles,CA,2017-08-09T22:30:00,changing,6 - 10 minutes
Mitchell,NE,2017-08-09T22:00:00,flash,< 1 minute
Davis,CA,2017-08-09T21:30:00,light,1 - 5 minutes
Corona,CA,2017-08-09T21:25:00,changing,1 - 5 minutes
Grand Junction,CO,2017-08-09T21:03:00,light,1 - 5 minutes
Rabbit Ears Pass,CO,2017-08-09T13:15:00,triangle,< 1 minute
Chino,CA,2017-08-09T03:15:00,circle,21 - 30 minutes
St. Petersburg,FL,2017-08-09T00:20:00,changing,1 - 5 minutes
Warren,MI,2017-08-09T00:00:00,other,1 - 5 minutes
Marlborough,CT,2017-08-09T00:00:00,flash,< 1 minute
Whitesburg,KY,2017-08-08T22:25:00,circle,< 1 minute
West Valley,UT,2017-08-08T22:15:00,light,1 - 5 minutes
Belton,MO,2017-08-08T22:10:00,light,1 - 5 minutes
Portland,OR,2017-08-08T22:00:00,changing,61 - 120 minutes
Gulf Shores,AL,2017-08-08T21:15:00,disk,1 - 5 minutes
Sandown,NH,2017-08-08T21:00:00,circle,< 1 minute
Overland,MO,2017-08-08T21:00:00,light,6 - 10 minutes
Huntsville,AL,2017-08-08T20:30:00,disk,1 - 5 minutes
Victorville,CA,2017-08-08T19:30:00,changing,16 - 20 minutes
Indonesia,XX,2017-08-08T15:20:00,oval,1 - 5 minutes
Kent,OH,2017-08-08T10:30:00,circle,1 - 5 minutes
Ellettsville,IN,2017-08-08T10:21:00,cylinder,1 - 5 minutes
Ridgewood,NJ,2017-08-08T06:53:00,egg,< 1 minute
Grosse Pointe Farms,MI,2017-08-08T04:00:00,fireball,< 1 minute
Chino,CA,2017-08-08T03:00:00,circle,31 - 60 minutes
Rice Lake,WI,2017-08-07T22:15:00,light,6 - 10 minutes
Moorland,IA,2017-08-07T22:03:00,circle,1 - 5 minutes
Niverville,MB,2017-08-07T21:30:00,light,1 - 5 minutes
Kapaa,HI,2017-08-07T20:49:00,sphere,< 1 minute
Glendale,CA,2017-08-07T13:17:00,disk,< 1 minute
Alex,OK,2017-08-07T10:42:00,circle,< 1 minute
Nelson,NH,2017-08-07T09:00:00,sphere,< 1 minute
Waupun,WI,2017-08-07T05:30:00,changing,6 - 10 minutes
Portland,OR,2017-08-07T03:00:00,circle,21 - 30 minutes
Mississauga,ON,2017-08-06T21:11:00,changing,< 1 minute
Brazil,XX,2017-08-06T19:05:00,light,< 1 minute
Linwood,NJ,2017-08-06T11:10:00,light,1 - 5 minutes
Springfield,OR,2017-08-06T01:03:00,light,< 1 minute
Exton,PA,2017-08-06T00:22:00,light,< 1 minute
Toms River,NJ,2017-08-06T00:00:00,fireball,< 1 minute
Arden Hills,MN,2017-08-05T23:29:00,unknown,< 1 minute
Leicester,MA,2017-08-05T23:00:00,triangle,< 1 minute
Pierre,SD,2017-08-05T23:00:00,triangle,1 - 5 minutes
Berks County,PA,2017-08-05T22:25:00,light,21 - 30 minutes
Louisburg,NC,2017-08-05T22:20:00,circle,1 - 5 minutes
West Islip,NY,2017-08-05T21:30:00,circle,1 - 5 minutes
Sylmar,CA,2017-08-05T21:15:00,flash,1 - 5 minutes
Carrollton,OH,2017-08-05T21:15:00,rectangle,1 - 5 minutes
Niceville,FL,2017-08-05T21:10:00,sphere,1 - 5 minutes
Auburn,WA,2017-08-05T19:45:00,circle,1 - 5 minutes
Woodbridge,NJ,2017-08-05T18:35:00,sphere,< 1 minute
Northern Ireland,XX,2017-08-05T16:47:00,cone,< 1 minute
Wildwood,NJ,2017-08-05T03:19:00,fireball,61 - 120 minutes
Norfolk,VA,2017-08-05T00:00:00,fireball,1 - 5 minutes
Hogansville,GA,2017-08-05T00:00:00,fireball,< 1 minute
Portland,OR,2017-08-04T23:49:00,fireball,1 - 5 minutes
Kalispell,MT,2017-08-04T23:00:00,diamond,< 1 minute
Rosemount,MN,2017-08-04T22:30:00,other,1 - 5 minutes
Spring Lake,NJ,2017-08-04T22:28:00,unknown,1 - 5 minutes
Louisville,KY,2017-08-04T22:00:00,circle,< 1 minute
Indio,CA,2017-08-04T22:00:00,sphere,< 1 minute
Ogden,UT,2017-08-04T21:45:00,flash,< 1 minute
Portland,OR,2017-08-04T21:40:00,circle,16 - 20 minutes
Howard,SD,2017-08-04T21:15:00,light,16 - 20 minutes
Phoenix,AZ,2017-08-04T21:15:00,flash,1 - 5 minutes
Greensboro,NC,2017-08-04T21:00:00,sphere,21 - 30 minutes
Rotterdam,NY,2017-08-04T20:00:00,light,< 1 minute
Martin,MI,2017-08-04T01:00:00,cylinder,61 - 120 minutes
Thunder Bay,ON,2017-08-04T00:25:00,disk,21 - 30 minutes
Twin Falls,ID,2017-08-03T23:10:00,circle,1 - 5 minutes
Newbury,OH,2017-08-03T22:15:00,circle,1 - 5 minutes
Altoona,PA,2017-08-03T22:15:00,formation,1 - 5 minutes
South Daytona,FL,2017-08-03T21:40:00,egg,1 - 5 minutes
West Warwick,RI,2017-08-03T21:30:00,unknown,1 - 5 minutes
Riverdale,UT,2017-08-03T09:00:00,disk,1 - 5 minutes
Lincoln,WA,2017-08-02T23:55:00,disk,6 - 10 minutes
Oakesdale,WA,2017-08-02T23:43:00,oval,6 - 10 minutes
Oakesdale,WA,2017-08-02T23:35:00,oval,1 - 5 minutes
San Bernardino,CA,2017-08-02T23:30:00,flash,1 - 5 minutes
Lewiston,ID,2017-08-02T23:06:00,sphere,< 1 minute
Lithuania,XX,2017-08-02T23:00:00,unknown,16 - 20 minutes
Fall River,MA,2017-08-02T22:40:00,circle,1 - 5 minutes
Troy,NY,2017-08-02T22:30:00,other,121 + minutes
Sun Valley,CA,2017-08-02T21:33:00,sphere,1 - 5 minutes
Franklin,ME,2017-08-02T00:35:00,unknown,1 - 5 minutes
Mayfield,OH,2017-08-01T22:30:00,unknown,< 1 minute
Rockford,IL,2017-08-01T22:00:00,light,1 - 5 minutes
Macomb,MI,2017-08-01T21:45:00,cigar,1 - 5 minutes
Orland Hills,IL,2017-08-01T21:25:00,unknown,< 1 minute
Estacada,OR,2017-08-01T21:00:00,diamond,< 1 minute
Joppa,MD,2017-08-01T21:00:00,circle,1 - 5 minutes
Newcastle,OK,2017-08-01T21:00:00,triangle,1 - 5 minutes
Wheatland,MO,2017-08-01T21:00:00,light,< 1 minute
Newhall,CA,2017-08-01T19:50:00,teardrop,1 - 5 minutes
Piscataway,NJ,2017-08-01T16:40:00,disk,1 - 5 minutes
Columbus,GA,2017-08-01T06:15:00,fireball,< 1 minute
Corcoran,MN,2017-08-01T02:45:00,light,61 - 120 minutes
Moreno Valley,CA,2017-08-01T02:00:00,other,< 1 minute
Bellevue,WA,2017-07-31T23:17:00,circle,1 - 5 minutes
Aiken,SC,2017-07-31T22:05:00,flash,< 1 minute
