city,state,date_time,shape,duration
Kirkland,IL,2017-02-08T21:30:00,light,< 1 minute
Naples,FL,2017-02-08T20:45:00,light,61 - 120 minutes
North Myrtle Beach,SC,2017-02-08T20:40:00,light,6 - 10 minutes
Espanola,NM,2017-02-08T20:35:00,sphere,1 - 5 minutes
Espanola,NM,2017-02-08T20:35:00,sphere,1 - 5 minutes
Kingfield,ME,2017-02-08T17:00:00,unknown,1 - 5 minutes
Pinion Hills,CA,2017-02-08T16:00:00,chevron,1 - 5 minutes
Lloydminster,AB,2017-02-08T06:00:00,fireball,1 - 5 minutes
Liberty Hill,TX,2017-02-08T05:30:00,oval,1 - 5 minutes
Tallahassee,FL,2017-02-08T03:00:00,changing,1 - 5 minutes
Land O'Lakes,FL,2017-02-07T23:15:00,light,1 - 5 minutes
Bay St. Louis,MS,2017-02-07T21:47:00,oval,1 - 5 minutes
Tucson,AZ,2017-02-07T21:30:00,other,1 - 5 minutes
Nampa,ID,2017-02-07T21:30:00,triangle,31 - 60 minutes
Melba,ID,2017-02-07T21:29:00,oval,6 - 10 minutes
Stockbridge,GA,2017-02-07T20:30:00,diamond,21 - 30 minutes
Port Orchard,WA,2017-02-07T20:00:00,cone,1 - 5 minutes
Port Orchard,WA,2017-02-07T19:45:00,light,< 1 minute
Macon,GA,2017-02-07T19:20:00,other,1 - 5 minutes
Macon,GA,2017-02-07T19:20:00,other,1 - 5 minutes
Brazil,XX,2017-02-07T13:00:00,cigar,< 1 minute
Huntington,WV,2017-02-07T11:15:00,circle,1 - 5 minutes
Arnold,PA,2017-02-06T22:50:00,unknown,1 - 5 minutes
Albuquerque,NM,2017-02-06T22:30:00,disk,< 1 minute
St. Petersburg,FL,2017-02-06T21:00:00,other,1 - 5 minutes
India,XX,2017-02-06T20:30:00,diamond,121 + minutes
Salisbury,MD,2017-02-06T20:15:00,other,< 1 minute
"Panama City Beach,  gulf",FL,2017-02-06T18:09:00,cigar,< 1 minute
Portland,OR,2017-02-06T18:00:00,light,61 - 120 minutes
Port Orchard,WA,2017-02-06T04:22:00,unknown,< 1 minute
Whitehall,MI,2017-02-06T02:35:00,flash,< 1 minute
Reynoldsburg,OH,2017-02-06T02:30:00,unknown,< 1 minute
Minneapolis,MN,2017-02-06T02:30:00,light,< 1 minute
Millmont,PA,2017-02-06T02:00:00,light,1 - 5 minutes
Oak Lawn,IL,2017-02-06T01:15:00,fireball,< 1 minute
Redway,CA,2017-02-06T00:13:00,flash,11 - 15 minutes
Lancaster,PA,2017-02-06T00:10:00,sphere,< 1 minute
Athens,MI,2017-02-05T23:25:00,triangle,6 - 10 minutes
Puyallup,WA,2017-02-05T23:23:00,unknown,< 1 minute
Rivera Maya,NM,2017-02-05T22:30:00,light,6 - 10 minutes
Chicago,IL,2017-02-05T22:05:00,circle,1 - 5 minutes
Carmine,TX,2017-02-05T21:48:00,sphere,< 1 minute
Village of Caledonia,WI,2017-02-05T21:30:00,changing,61 - 120 minutes
Saint John,NB,2017-02-05T21:10:00,other,6 - 10 minutes
Clinton,TN,2017-02-05T21:00:00,circle,1 - 5 minutes
Bend,OR,2017-02-05T19:00:00,formation,21 - 30 minutes
Manalapan,NJ,2017-02-05T19:00:00,changing,61 - 120 minutes
Santee,CA,2017-02-05T19:00:00,circle,16 - 20 minutes
Clarksville,TN,2017-02-05T18:30:00,oval,1 - 5 minutes
Madison,WI,2017-02-05T12:00:00,circle,< 1 minute
Sahuarita,AZ,2017-02-05T01:35:00,triangle,1 - 5 minutes
Miramar,FL,2017-02-04T20:30:00,cylinder,21 - 30 minutes
Queen Creek,AZ,2017-02-04T17:53:00,changing,6 - 10 minutes
Marshall,MN,2017-02-04T17:00:00,sphere,< 1 minute
Somerville,MA,2017-02-04T17:00:00,other,1 - 5 minutes
Cape May Court House,NJ,2017-02-04T15:50:00,light,6 - 10 minutes
Rancho Palos Verdes,CA,2017-02-04T03:24:00,light,1 - 5 minutes
,UT,2017-02-03T22:58:00,circle,21 - 30 minutes
Lake Worth,FL,2017-02-03T21:35:00,circle,< 1 minute
Walker,LA,2017-02-03T21:30:00,other,61 - 120 minutes
Hutto,TX,2017-02-03T21:00:00,formation,< 1 minute
Sarasota,FL,2017-02-03T20:33:00,circle,1 - 5 minutes
Louisville,KY,2017-02-03T20:30:00,circle,16 - 20 minutes
Phoenix,AZ,2017-02-03T20:00:00,light,121 + minutes
Gambrills,MD,2017-02-03T20:00:00,light,61 - 120 minutes
Flagler Beach,FL,2017-02-03T19:00:00,triangle,1 - 5 minutes
Flagler,FL,2017-02-03T18:44:00,triangle,1 - 5 minutes
Flagler Beach,FL,2017-02-03T18:35:00,triangle,6 - 10 minutes
Webster,WI,2017-02-03T17:30:00,light,61 - 120 minutes
Saint Charles,MO,2017-02-03T10:23:00,other,1 - 5 minutes
Indianapolis,IN,2017-02-03T00:00:00,disk,6 - 10 minutes
Howell,NJ,2017-02-02T22:00:00,triangle,1 - 5 minutes
Mesa,AZ,2017-02-02T20:00:00,light,< 1 minute
Kailua,HI,2017-02-02T19:00:00,light,31 - 60 minutes
Mobile,AL,2017-02-02T18:30:00,fireball,61 - 120 minutes
Buffalo,NY,2017-02-02T12:45:00,light,< 1 minute
Harrington,WA,2017-02-02T01:35:00,oval,16 - 20 minutes
Williamsville,NY,2017-02-01T23:43:00,light,< 1 minute
Dawsonville,GA,2017-02-01T23:00:00,circle,61 - 120 minutes
Tempe,AZ,2017-02-01T22:50:00,light,6 - 10 minutes
Fort Leonard Wood,MO,2017-02-01T22:15:00,disk,1 - 5 minutes
Hope,ID,2017-02-01T21:02:00,unknown,6 - 10 minutes
Angola,NY,2017-02-01T20:00:00,light,121 + minutes
Arvada,CO,2017-02-01T20:00:00,formation,1 - 5 minutes
Azusa,CA,2017-02-01T19:40:00,changing,< 1 minute
Jacksonville,FL,2017-02-01T18:30:00,other,11 - 15 minutes
West Seattle,WA,2017-02-01T18:25:00,unknown,1 - 5 minutes
New London,CT,2017-02-01T17:46:00,chevron,< 1 minute
Abington,MA,2017-02-01T17:30:00,sphere,1 - 5 minutes
Helena,AR,2017-02-01T15:00:00,light,Unknown
not sure,AZ,2017-02-01T12:00:00,oval,1 - 5 minutes
Greer,SC,2017-02-01T11:30:00,light,< 1 minute
Los Angeles,CA,2017-02-01T09:12:00,light,< 1 minute
Chicago,IL,2017-02-01T06:00:00,light,61 - 120 minutes
Dubuque,IA,2017-02-01T05:05:00,disk,< 1 minute
Eureka,MO,2017-02-01T00:00:00,disk,< 1 minute
Richlands,NC,2017-01-31T23:45:00,other,< 1 minute
Maricopa,AZ,2017-01-31T23:00:00,light,1 - 5 minutes
Albany,OR,2017-01-31T22:15:00,sphere,< 1 minute
Charlottesville,VA,2017-01-31T21:00:00,other,11 - 15 minutes
Mechanicsburg,PA,2017-01-31T18:40:00,light,1 - 5 minutes
Duxbury,MA,2017-01-31T06:00:00,unknown,1 - 5 minutes
Strafford,MO,2017-01-31T04:00:00,rectangle,1 - 5 minutes
Travelers Rest,SC,2017-01-30T21:50:00,chevron,< 1 minute
Oviedo,FL,2017-01-30T20:15:00,circle,6 - 10 minutes
Katy,TX,2017-01-30T18:45:00,fireball,< 1 minute
Catonsville,MD,2017-01-30T07:00:00,changing,121 + minutes
Fort Chafee,AR,2017-01-30T06:13:00,flash,61 - 120 minutes
Fletcher,NC,2017-01-30T04:45:00,other,1 - 5 minutes
Somersworth,NH,2017-01-30T02:30:00,light,1 - 5 minutes
Fort Lauderdale,FL,2017-01-29T23:00:00,fireball,16 - 20 minutes
Conyers,GA,2017-01-29T22:30:00,light,1 - 5 minutes
Layton,UT,2017-01-29T21:00:00,other,1 - 5 minutes
Hurricane,UT,2017-01-29T20:15:00,light,6 - 10 minutes
Powell,TN,2017-01-29T20:00:00,sphere,16 - 20 minutes
Bountiful,UT,2017-01-29T19:35:00,light,16 - 20 minutes
St. Petersburg,FL,2017-01-29T19:30:00,sphere,21 - 30 minutes
Walden,NY,2017-01-29T19:15:00,formation,6 - 10 minutes
Cohasset,MN,2017-01-29T19:00:00,oval,1 - 5 minutes
Atlanta,GA,2017-01-29T18:47:00,light,< 1 minute
Merrimack,NH,2017-01-29T18:40:00,light,< 1 minute
Clio,AL,2017-01-29T18:00:00,light,1 - 5 minutes
Phoenix,AZ,2017-01-29T15:17:00,sphere,6 - 10 minutes
Albuquerque,NM,2017-01-29T15:00:00,other,31 - 60 minutes
Oceanside,CA,2017-01-29T14:10:00,circle,< 1 minute
Studio City,CA,2017-01-29T10:34:00,light,1 - 5 minutes
Auburn,WA,2017-01-29T03:30:00,oval,< 1 minute
Tewksbury,MA,2017-01-29T03:00:00,unknown,21 - 30 minutes
Tucson,AZ,2017-01-28T23:54:00,circle,< 1 minute
Greenville,NC,2017-01-28T23:30:00,circle,16 - 20 minutes
Trinity,NC,2017-01-28T23:30:00,teardrop,121 + minutes
Australia,XX,2017-01-28T23:00:00,flash,< 1 minute
Grover,FL,2017-01-28T23:00:00,disk,1 - 5 minutes
Boca Raton,FL,2017-01-28T22:30:00,light,1 - 5 minutes
Conway,SC,2017-01-28T21:00:00,light,121 + minutes
Sahuarita,AZ,2017-01-28T20:50:00,formation,6 - 10 minutes
Chardon,OH,2017-01-28T20:29:00,light,1 - 5 minutes
Chandler,AZ,2017-01-28T20:20:00,light,1 - 5 minutes
Portland,OR,2017-01-28T19:00:00,unknown,< 1 minute
Fort Lauderdale,FL,2017-01-28T18:50:00,fireball,1 - 5 minutes
Londonderry,NH,2017-01-28T18:30:00,disk,21 - 30 minutes
Scottsdale,AZ,2017-01-28T18:30:00,triangle,1 - 5 minutes
Waunakee,WI,2017-01-28T17:15:00,unknown,1 - 5 minutes
Cumming,GA,2017-01-28T09:15:00,rectangle,6 - 10 minutes
Porterville,CA,2017-01-28T05:00:00,circle,1 - 5 minutes
Reno,NV,2017-01-28T03:54:00,unknown,1 - 5 minutes
Jenks,OK,2017-01-28T00:10:00,circle,1 - 5 minutes
Mays Landing,NJ,2017-01-27T22:45:00,teardrop,< 1 minute
Ragley,LA,2017-01-27T22:00:00,cross,< 1 minute
Elk City,OK,2017-01-27T22:00:00,light,121 + minutes
Berkeley Heights,NJ,2017-01-27T21:00:00,changing,< 1 minute
Pennington,NJ,2017-01-27T20:40:00,flash,6 - 10 minutes
Saint George,UT,2017-01-27T20:00:00,formation,121 + minutes
Russellville,AR,2017-01-27T20:00:00,light,< 1 minute
Spencer,OK,2017-01-27T19:38:00,changing,Unknown
Wendell,NC,2017-01-27T19:15:00,light,< 1 minute
Farmington,NH,2017-01-27T17:30:00,circle,< 1 minute
Las Cruces,NM,2017-01-27T16:45:00,formation,1 - 5 minutes
Portland,OR,2017-01-27T13:15:00,cylinder,1 - 5 minutes
Potomac,MD,2017-01-27T07:00:00,light,1 - 5 minutes
Selma,TX,2017-01-27T02:45:00,fireball,< 1 minute
New York,NY,2017-01-27T01:30:00,fireball,21 - 30 minutes
Hillsborough,NC,2017-01-26T22:35:00,other,1 - 5 minutes
Encinitas,CA,2017-01-26T21:30:00,fireball,1 - 5 minutes
Hickory,NC,2017-01-26T20:00:00,light,121 + minutes
Georgetown,SC,2017-01-26T20:00:00,circle,21 - 30 minutes
Georgetown,SC,2017-01-26T20:00:00,flash,21 - 30 minutes
Phenix City,AL,2017-01-26T19:00:00,unknown,< 1 minute
Tampa,FL,2017-01-26T19:00:00,oval,11 - 15 minutes
Towson,MD,2017-01-26T18:54:00,cigar,1 - 5 minutes
Leesburg,VA,2017-01-26T18:50:00,fireball,< 1 minute
Henrico,VA,2017-01-26T18:30:00,chevron,< 1 minute
New York,NY,2017-01-26T18:00:00,fireball,121 + minutes
Kenner,LA,2017-01-26T18:00:00,light,6 - 10 minutes
New York,NY,2017-01-26T18:00:00,light,121 + minutes
Leominster,MA,2017-01-26T16:30:00,unknown,11 - 15 minutes
Atlanta,GA,2017-01-26T13:00:00,light,16 - 20 minutes
Greensboro,NC,2017-01-26T12:40:00,other,1 - 5 minutes
Hernando,FL,2017-01-25T22:45:00,light,1 - 5 minutes
Hernando,FL,2017-01-25T22:45:00,light,< 1 minute
Liberty,IN,2017-01-25T22:15:00,triangle,1 - 5 minutes
San Antonio,TX,2017-01-25T20:45:00,light,61 - 120 minutes
Desert Hot Springs,CA,2017-01-25T20:00:00,sphere,1 - 5 minutes
Germantown,MD,2017-01-25T20:00:00,rectangle,< 1 minute
Compton,CA,2017-01-25T19:25:00,light,1 - 5 minutes
Lakehills,TX,2017-01-25T19:05:00,formation,1 - 5 minutes
Yuma,AZ,2017-01-25T19:00:00,light,6 - 10 minutes
San Diego,CA,2017-01-25T19:00:00,circle,61 - 120 minutes
Greensboro,NC,2017-01-25T18:30:00,formation,1 - 5 minutes
Midlothian,VA,2017-01-25T18:00:00,light,< 1 minute
Sidney,ME,2017-01-25T17:45:00,light,6 - 10 minutes
Belfast,ME,2017-01-25T16:45:00,light,1 - 5 minutes
Newport,TX,2017-01-25T03:00:00,circle,16 - 20 minutes
Minneapolis,MN,2017-01-24T18:30:00,flash,< 1 minute
Jacksonville,AR,2017-01-24T06:00:00,light,11 - 15 minutes
Steelville,MO,2017-01-23T20:30:00,light,61 - 120 minutes
North Myrtle Beach,SC,2017-01-23T19:30:00,formation,< 1 minute
Los Lunas,NM,2017-01-23T19:00:00,light,61 - 120 minutes
Hays,KS,2017-01-23T19:00:00,unknown,< 1 minute
Lacey,WA,2017-01-23T18:00:00,circle,121 + minutes
Northglenn,CO,2017-01-23T06:55:00,rectangle,1 - 5 minutes
Seattle,WA,2017-01-23T06:43:00,sphere,6 - 10 minutes
Los Angeles,CA,2017-01-23T03:00:00,disk,< 1 minute
Hillsboro,OR,2017-01-23T02:45:00,flash,1 - 5 minutes
Winnipeg,MB,2017-01-23T01:00:00,unknown,< 1 minute
Salinas,CA,2017-01-23T00:12:00,light,6 - 10 minutes
Yachats,OR,2017-01-23T00:04:00,circle,1 - 5 minutes
Gila,NM,2017-01-23T00:00:00,sphere,61 - 120 minutes
San Antonio,FL,2017-01-22T19:25:00,cigar,< 1 minute
Rosamond,CA,2017-01-22T19:00:00,circle,61 - 120 minutes
Cinnaminson,NJ,2017-01-22T02:44:00,chevron,1 - 5 minutes
Gilbert,AZ,2017-01-21T20:30:00,light,< 1 minute
Roswell,NM,2017-01-21T20:30:00,light,21 - 30 minutes
Senoia,GA,2017-01-21T20:00:00,light,16 - 20 minutes
Holland,OH,2017-01-21T19:00:00,circle,1 - 5 minutes
Saint Augustine,FL,2017-01-21T18:58:00,light,1 - 5 minutes
Holly Hill,FL,2017-01-21T18:40:00,sphere,1 - 5 minutes
Woodbridge,VA,2017-01-21T18:40:00,oval,1 - 5 minutes
Tulsa,OK,2017-01-21T05:00:00,unknown,61 - 120 minutes
Plantation,FL,2017-01-21T04:00:00,unknown,31 - 60 minutes
Guilford,CT,2017-01-21T02:00:00,circle,1 - 5 minutes
Cocoa,FL,2017-01-20T20:19:00,circle,21 - 30 minutes
Orlando,FL,2017-01-20T20:15:00,sphere,16 - 20 minutes
Deland,FL,2017-01-20T19:30:00,fireball,< 1 minute
Fayetteville,NC,2017-01-20T14:00:00,sphere,1 - 5 minutes
Long Beach,MS,2017-01-20T05:45:00,light,6 - 10 minutes
Fort Lauderdale,FL,2017-01-19T22:00:00,light,1 - 5 minutes
Franklinton,LA,2017-01-19T21:25:00,triangle,1 - 5 minutes
Summerfield,FL,2017-01-19T20:45:00,light,1 - 5 minutes
Skillman,NJ,2017-01-19T19:00:00,formation,6 - 10 minutes
Lincoln,NM,2017-01-19T18:05:00,fireball,1 - 5 minutes
Walnut Creek,CA,2017-01-19T18:00:00,circle,< 1 minute
Long Beach,CA,2017-01-19T06:10:00,fireball,1 - 5 minutes
Minneapolis,MN,2017-01-19T02:28:00,cigar,21 - 30 minutes
Fort Collins,CO,2017-01-18T23:30:00,chevron,< 1 minute
Chicago,IL,2017-01-18T22:30:00,triangle,< 1 minute
Truro,NS,2017-01-18T21:50:00,triangle,1 - 5 minutes
Sumter,SC,2017-01-18T21:00:00,triangle,1 - 5 minutes
Brandon,SD,2017-01-18T20:28:00,other,1 - 5 minutes
Crystal River,FL,2017-01-18T19:45:00,light,21 - 30 minutes
River Falls,WI,2017-01-18T18:53:00,fireball,1 - 5 minutes
Wilson,NY,2017-01-18T17:00:00,circle,31 - 60 minutes
New Market,MD,2017-01-18T01:00:00,unknown,1 - 5 minutes
Deltona,FL,2017-01-17T21:00:00,light,< 1 minute
Concord,NC,2017-01-17T20:42:00,light,16 - 20 minutes
Randall,MN,2017-01-17T20:39:00,light,1 - 5 minutes
Omaha,NE,2017-01-17T19:48:00,fireball,1 - 5 minutes
Saint George,UT,2017-01-17T19:20:00,circle,6 - 10 minutes
Oak Harbor,WA,2017-01-17T17:26:00,circle,< 1 minute
Yucca Valley,CA,2017-01-17T16:00:00,disk,6 - 10 minutes
Warner,NH,2017-01-17T09:53:00,light,< 1 minute
New Zealand,XX,2017-01-17T04:40:00,light,< 1 minute
Morgan,UT,2017-01-16T19:00:00,light,1 - 5 minutes
Oxford,MS,2017-01-16T19:00:00,circle,21 - 30 minutes
New Paltz,NY,2017-01-16T18:41:00,triangle,21 - 30 minutes
Las Vegas,NV,2017-01-16T18:30:00,rectangle,121 + minutes
Ozark,MO,2017-01-16T18:15:00,other,21 - 30 minutes
Baltimore,MD,2017-01-16T17:45:00,light,< 1 minute
San Diego,CA,2017-01-15T22:00:00,fireball,16 - 20 minutes
Phoenix,AZ,2017-01-15T20:53:00,flash,1 - 5 minutes
Elk River,MN,2017-01-15T19:00:00,oval,121 + minutes
Powder Springs,GA,2017-01-15T19:00:00,formation,1 - 5 minutes
Bridgewater,NJ,2017-01-15T17:45:00,unknown,6 - 10 minutes
West Valley City,UT,2017-01-15T08:00:00,formation,121 + minutes
Rome,GA,2017-01-15T03:00:00,changing,61 - 120 minutes
Oak Park,GA,2017-01-15T01:00:00,changing,< 1 minute
Chino Hills,CA,2017-01-14T23:03:00,light,1 - 5 minutes
Carrizo,NM,2017-01-14T23:00:00,triangle,21 - 30 minutes
England,XX,2017-01-14T23:00:00,light,61 - 120 minutes
Hudson,FL,2017-01-14T21:18:00,sphere,1 - 5 minutes
Fort Lauderdale,FL,2017-01-14T20:45:00,circle,1 - 5 minutes
Edneyville,NC,2017-01-14T20:35:00,sphere,< 1 minute
Hillsboro,OR,2017-01-14T19:38:00,light,< 1 minute
Grand Rapids,MI,2017-01-14T19:30:00,light,61 - 120 minutes
Lake Charles,LA,2017-01-14T19:00:00,formation,1 - 5 minutes
Greensboro,NC,2017-01-14T18:55:00,unknown,1 - 5 minutes
Santa Rosa,CA,2017-01-14T18:00:00,circle,< 1 minute
Saint Clair,MI,2017-01-14T18:00:00,triangle,11 - 15 minutes
Daytona Beach,FL,2017-01-14T17:51:00,fireball,6 - 10 minutes
Melbourne,FL,2017-01-14T17:00:00,light,21 - 30 minutes
Seattle,WA,2017-01-14T14:00:00,rectangle,6 - 10 minutes
Yerington,NV,2017-01-14T13:00:00,circle,< 1 minute
Olympia,WA,2017-01-14T06:35:00,triangle,1 - 5 minutes
Reynolds,GA,2017-01-13T22:30:00,sphere,< 1 minute
Dedham,MA,2017-01-13T21:40:00,light,1 - 5 minutes
Hilton Head Island,SC,2017-01-13T21:30:00,sphere,1 - 5 minutes
Santa Rosa,CA,2017-01-13T20:45:00,formation,1 - 5 minutes
Santa Rosa,CA,2017-01-13T20:25:00,formation,6 - 10 minutes
San Rafael,NM,2017-01-13T19:50:00,triangle,1 - 5 minutes
Milford,DE,2017-01-13T19:50:00,triangle,1 - 5 minutes
Bloomingburg,NY,2017-01-13T19:35:00,circle,6 - 10 minutes
West Palm Beach,FL,2017-01-13T19:25:00,triangle,1 - 5 minutes
Sandy,UT,2017-01-13T12:32:00,other,< 1 minute
Rumford,RI,2017-01-13T06:15:00,light,< 1 minute
Asheboro,NC,2017-01-13T03:00:00,formation,1 - 5 minutes
Calgary,AB,2017-01-13T01:25:00,unknown,1 - 5 minutes
Newark,NJ,2017-01-13T01:00:00,other,21 - 30 minutes
Uhland,TX,2017-01-13T00:10:00,light,< 1 minute
Albuquerque,NM,2017-01-12T21:35:00,fireball,< 1 minute
Holiday,OH,2017-01-12T21:00:00,unknown,1 - 5 minutes
Fremont,WI,2017-01-12T20:55:00,unknown,1 - 5 minutes
Troy,NC,2017-01-12T20:00:00,cylinder,< 1 minute
Tarpon Springs,FL,2017-01-12T19:30:00,triangle,1 - 5 minutes
Ponce Inlet,FL,2017-01-12T19:30:00,changing,61 - 120 minutes
New York,NY,2017-01-12T18:45:00,cigar,6 - 10 minutes
Myrtle Beach,SC,2017-01-12T08:40:00,light,< 1 minute
Conroe,TX,2017-01-12T06:00:00,unknown,< 1 minute
Midvale,UT,2017-01-11T23:45:00,flash,< 1 minute
Harleyville,SC,2017-01-11T21:00:00,light,121 + minutes
Franklinton,NC,2017-01-11T21:00:00,other,1 - 5 minutes
Castle Rock,CO,2017-01-11T20:45:00,sphere,< 1 minute
Shelton,WA,2017-01-11T20:05:00,fireball,< 1 minute
Hays,KS,2017-01-11T18:40:00,other,< 1 minute
Hinesville,GA,2017-01-11T18:22:00,disk,21 - 30 minutes
Chester,NY,2017-01-11T17:40:00,oval,6 - 10 minutes
Amherst,MA,2017-01-11T17:01:00,unknown,< 1 minute
West Newbury,MA,2017-01-11T08:30:00,disk,61 - 120 minutes
Madison,MS,2017-01-11T06:30:00,unknown,16 - 20 minutes
Hemingway,SC,2017-01-10T21:40:00,egg,< 1 minute
Brazil,XX,2017-01-10T19:30:00,other,1 - 5 minutes
North Port,FL,2017-01-10T19:30:00,sphere,< 1 minute
Hillsboro,MO,2017-01-10T18:45:00,changing,61 - 120 minutes
Magdalena,NM,2017-01-10T06:02:00,formation,< 1 minute
Mountainair,NM,2017-01-10T06:00:00,formation,< 1 minute
Sahaurita,AZ,2017-01-10T03:45:00,light,16 - 20 minutes
Orlando,FL,2017-01-09T23:00:00,circle,21 - 30 minutes
Holiday,FL,2017-01-09T20:50:00,triangle,< 1 minute
Roanoke,VA,2017-01-09T19:30:00,other,1 - 5 minutes
Chandler,AZ,2017-01-09T19:15:00,sphere,1 - 5 minutes
Gouldsboro,PA,2017-01-09T18:00:00,triangle,61 - 120 minutes
Issaquah,WA,2017-01-09T07:05:00,triangle,1 - 5 minutes
Zephyrhills,FL,2017-01-09T05:05:00,circle,6 - 10 minutes
Gresham,OR,2017-01-09T04:10:00,unknown,< 1 minute
Birmingham,AL,2017-01-09T03:12:00,unknown,1 - 5 minutes
Birmingham,AL,2017-01-09T03:02:00,changing,1 - 5 minutes
Los Angeles,CA,2017-01-08T23:00:00,other,1 - 5 minutes
Palm Coast,FL,2017-01-08T21:58:00,oval,< 1 minute
Valrico,FL,2017-01-08T21:10:00,changing,121 + minutes
Bealeton,VA,2017-01-08T19:15:00,other,61 - 120 minutes
Wabasha,MN,2017-01-08T19:00:00,triangle,61 - 120 minutes
Highland,CA,2017-01-08T17:30:00,light,1 - 5 minutes
Frankfort,IL,2017-01-08T17:30:00,formation,31 - 60 minutes
Southfield,MI,2017-01-08T06:30:00,light,< 1 minute
Waterford,MI,2017-01-08T06:20:00,cone,< 1 minute
Macfarland,WI,2017-01-08T03:30:00,sphere,< 1 minute
Golden,CO,2017-01-08T03:00:00,unknown,121 + minutes
Australia,XX,2017-01-08T02:28:00,triangle,< 1 minute
Ball Ground,GA,2017-01-08T02:18:00,light,1 - 5 minutes
Sutherlin,OR,2017-01-07T23:20:00,fireball,1 - 5 minutes
Poteet,TX,2017-01-07T22:00:00,sphere,121 + minutes
Conception Bay South,NL,2017-01-07T21:50:00,fireball,1 - 5 minutes
Newcastle,DE,2017-01-07T21:30:00,teardrop,< 1 minute
Hardyston Township,NJ,2017-01-07T21:15:00,unknown,1 - 5 minutes
Shepherd,MI,2017-01-07T21:00:00,circle,61 - 120 minutes
Antelope Valley,CA,2017-01-07T20:15:00,formation,6 - 10 minutes
New Berlin,WI,2017-01-07T20:10:00,light,< 1 minute
Centerview,OK,2017-01-07T20:00:00,sphere,16 - 20 minutes
Las Vegas,NV,2017-01-07T19:30:00,sphere,< 1 minute
Nashville,TN,2017-01-07T19:30:00,fireball,1 - 5 minutes
Denver,CO,2017-01-07T19:00:00,light,6 - 10 minutes
Sparta,WI,2017-01-07T19:00:00,circle,1 - 5 minutes
Hendersonville,NC,2017-01-07T18:15:00,light,6 - 10 minutes
Bellingham,WA,2017-01-06T23:00:00,triangle,1 - 5 minutes
Coon Rapids,MN,2017-01-06T22:30:00,fireball,< 1 minute
Loudon,TN,2017-01-06T20:00:00,oval,1 - 5 minutes
Merced,CA,2017-01-06T19:15:00,light,1 - 5 minutes
Kalama,WA,2017-01-06T19:05:00,circle,1 - 5 minutes
Langley,WA,2017-01-06T19:00:00,circle,Unknown
San Anselmo,CA,2017-01-06T19:00:00,formation,1 - 5 minutes
Tigard,OR,2017-01-06T18:24:00,circle,61 - 120 minutes
Austin,TX,2017-01-06T17:30:00,formation,1 - 5 minutes
Sandy,UT,2017-01-05T22:15:00,fireball,6 - 10 minutes
District Heights,MD,2017-01-05T20:00:00,formation,21 - 30 minutes
Rochester,NY,2017-01-05T06:35:00,formation,1 - 5 minutes
Parkland,WA,2017-01-04T21:34:00,circle,61 - 120 minutes
Port Angeles,WA,2017-01-04T19:20:00,light,1 - 5 minutes
West Deptford,NJ,2017-01-04T17:00:00,other,< 1 minute
Davenport,CA,2017-01-04T13:00:00,formation,21 - 30 minutes
University Place,WA,2017-01-03T05:19:00,chevron,6 - 10 minutes
McMurray,PA,2017-01-02T23:50:00,flash,1 - 5 minutes
Chile,XX,2017-01-02T21:30:00,disk,121 + minutes
Corona,CA,2017-01-02T20:00:00,fireball,1 - 5 minutes
Dickinson,TX,2017-01-02T17:30:00,formation,Unknown
Thousand Oaks,CA,2017-01-02T00:00:00,triangle,6 - 10 minutes
"Portland, OR",OR,2017-01-01T22:55:00,circle,121 + minutes
East Orange,NJ,2017-01-01T21:00:00,flash,31 - 60 minutes
San Antonio,TX,2017-01-01T20:45:00,light,< 1 minute
Brampton,ON,2017-01-01T19:45:00,chevron,121 + minutes
Decatur,MI,2017-01-01T19:31:00,light,< 1 minute
Owings Mills,MD,2017-01-01T19:05:00,circle,1 - 5 minutes
Bear,DE,2017-01-01T19:00:00,light,1 - 5 minutes
Sri Lanka,XX,2017-01-01T18:55:00,sphere,1 - 5 minutes
Coronado,CA,2017-01-01T18:15:00,light,1 - 5 minutes
Rumford,RI,2017-01-01T17:45:00,other,121 + minutes
Oshawa,ON,2017-01-01T14:02:00,cigar,6 - 10 minutes
Colorado Springs,CO,2017-01-01T13:50:00,sphere,< 1 minute
New York,NY,2017-01-01T12:30:00,light,1 - 5 minutes
Boise,ID,2017-01-01T12:05:00,circle,6 - 10 minutes
Shafter,CA,2017-01-01T12:00:00,disk,1 - 5 minutes
Galt,CA,2017-01-01T02:30:00,circle,< 1 minute
Galt,CA,2017-01-01T02:30:00,circle,< 1 minute
Cody,WY,2017-01-01T01:15:00,fireball,< 1 minute
Placida,FL,2017-01-01T01:00:00,cigar,1 - 5 minutes
Pbg,FL,2017-01-01T00:30:00,fireball,1 - 5 minutes
San Antonio,TX,2017-01-01T00:30:00,fireball,1 - 5 minutes
San Tan Valley,AZ,2017-01-01T00:20:00,fireball,1 - 5 minutes
Seminole,FL,2017-01-01T00:19:00,circle,< 1 minute
Longmont,CO,2017-01-01T00:15:00,circle,1 - 5 minutes
Hope Mills,NC,2017-01-01T00:15:00,light,21 - 30 minutes
Anchorage,AK,2017-01-01T00:10:00,formation,1 - 5 minutes
Casselberry,FL,2017-01-01T00:10:00,sphere,6 - 10 minutes
Boise,ID,2017-01-01T00:10:00,light,1 - 5 minutes
